word,word2,w1,w2
ಹಳಗನ್ನಡ,ಆದೇಶ ಸಂಧಿ,ಹಳ,ಕನ್ನಡ
ಬಾಯ್ದೆರೆ,ಆದೇಶ ಸಂಧಿ,ಬಾಯ್,ತೆರೆ
ಮೈದೊಳೆ,ಆದೇಶ ಸಂಧಿ,ಮೈ,ತೊಳೆ
ಎಳೆಗರು,ಆದೇಶ ಸಂಧಿ,ಎಳೆ,ಕರು
ತಲೆಗಟ್ಟು,ಆದೇಶ ಸಂಧಿ,ತಲೆ,ಕಟ್ಟು
ಮಳೆಗಾಲ,ಆದೇಶ ಸಂಧಿ,ಮಳೆ,ಕಾಲ
ಚಳಿಗಾಲ,ಆದೇಶ ಸಂಧಿ,ಚಳಿ,ಕಾಲ
ಬೆಟ್ಟದಾವರೆ,ಆದೇಶ ಸಂಧಿ,ಬೆಟ್ಟ,ತಾವರೆ
ಕಂಗೆಟ್ಟು,ಆದೇಶ ಸಂಧಿ,ಕಣ್,ಕೆಟ್ಟು
ಕಂಬನಿ,ಆದೇಶ ಸಂಧಿ,ಕಣ್,ಪನಿ
ಮನೆಗೆಲಸ,ಆದೇಶ ಸಂಧಿ,ಮನೆ,ಕೆಲಸ
ಕಳೆಗೂಡಿ,ಆದೇಶ ಸಂಧಿ,ಕಳೆ,ಕೂಡಿ
ಇಂಚರ,ಆದೇಶ ಸಂಧಿ,ಇನ್,ಸರ
ಕೆರೆಯಲ್ಲಿ,ಆಗಮ ಸಂಧಿ,ಕೆರೆ,ಅಲ್ಲಿ
ಗಾಳಿಯನ್ನು,ಆಗಮ ಸಂಧಿ,ಗಾಳಿ,ಅನ್ನು
ಮಳೆಯಿಂದ,ಆಗಮ ಸಂಧಿ,ಮಳೆ,ಇಂದ
ಮೇಯಿಸು,ಆಗಮ ಸಂಧಿ,ಮೇ,ಇಸು
ಮಗುವಿಗೆ,ಆಗಮ ಸಂಧಿ,ಮಗು,ಇಗೆ
ಗುರುವನ್ನು,ಆಗಮ ಸಂಧಿ,ಗುರು,ಅನ್ನು
ಹೂವಿದು,ಆಗಮ ಸಂಧಿ,ಹೂ,ಇದು
ಸ್ತ್ರೀಯೆಂಬ,ಆಗಮ ಸಂಧಿ, ಸ್ತ್ರೀ,ಎಂಬ
ಕರ್ತೃವಾದ,ಆಗಮ ಸಂಧಿ,ಕರ್ತೃ,ಆದ
ಗೋವಿನ,ಆಗಮ ಸಂಧಿ,ಗೋ,ಇನ
ನಾವೆಲ್ಲಾ,ಲೋಪಸಂಧಿ,ನಾವು,ಎಲ್ಲಾ
ಬೇರೊಂದು,ಲೋಪಸಂಧಿ,ಬೇರೆ,ಒಂದು
ಮಾತಿಲ್ಲ,ಲೋಪಸಂಧಿ,ಮಾತು,ಇಲ್ಲ
ಮಾಡಿಸು,ಲೋಪಸಂಧಿ,ಮಾಡು,ಇಸು
ನೀರಿಲ್ಲ,ಲೋಪಸಂಧಿ,ನೀರು,ಇಲ್ಲ
ಅವನೂರು,ಲೋಪಸಂಧಿ,ಅವನ,ಊರು
ಬೇರೊಬ್ಬ,ಲೋಪಸಂಧಿ,ಬೇರೆ,ಒಬ್ಬ
ಮತ್ತೊಬ್ಬ,ಲೋಪಸಂಧಿ,ಮತ್ತು,ಒಬ್ಬ
ಅಲ್ಲಲ್ಲಿ,ಲೋಪಸಂಧಿ,ಅಲ್ಲಿ,ಅಲ್ಲಿ
ಏನಾದುದು,ಲೋಪಸಂಧಿ,ಏನು,ಆದುದು
ಊರಲ್ಲಿ,ಲೋಪಸಂಧಿ,ಊರು,ಅಲ್ಲಿ
ದೇವರಿಂದ,ಲೋಪಸಂಧಿ,ದೇವರು,ಇಂದ
ದೇವರನ್ನು,ಲೋಪ ಸಂಧಿ,ದೇವರು,ಅನ್ನು
